material_family_category,count
,9272
Skutterudite,6856
Bi2Te3,6149
Oxide,4296
Perovskite,3824
PbTe,3307
Half-Heusler,3304
Antimonide,2644
Cobaltite,2535
Selenide,2433
Mg2Si,2356
Sulfide,2294
Telluride,2100
Silicide,2022
Chalcogenide,2005
Alloy,1971
Clathrate,1553
Zintl,970
ZnO,904
Si/Ge,431
Polymer,377
SnSe,358
Heusler,300
Si,281
Metal,252
Organic,177
Heavy-Fermion,159
Chalcopyrite,146
Germinide,123
SiGe,97
Carbide,93
Boron,91
Silicon carbide,82
Phosphide,62
Graphene,61
Nitride,38
Stannite,37
Argyrodite,29
Germanide,25
Chevrel phase,19
diamondlike structure,18
d-silicide,17
tetrahedrites,16
Ruthenates,16
Iron pnictides,15
Ceramics,14
 Tetrahedrite,10
Aluminide,8
Borom,6
Borocarbonitride,4
Graphite Intercalation Compounds,4
Tl4TiS4,1
Sb2Te3(GeTe)17,1
