,ISSN
0,"['0001-4842', '1520-4898']"
1,"['1944-8244', '1944-8252']"
2,"['1944-8244', '1944-8252']"
3,"['1944-8244', '1944-8252']"
4,"['1944-8244', '1944-8252']"
5,"['1944-8244', '1944-8252']"
6,"['1944-8244', '1944-8252']"
7,"['1944-8244', '1944-8252']"
8,"['1944-8244', '1944-8252']"
9,"['1944-8244', '1944-8252']"
10,"['1944-8244', '1944-8252']"
11,"['1944-8244', '1944-8252']"
12,"['1944-8244', '1944-8252']"
13,"['1944-8244', '1944-8252']"
14,"['1944-8244', '1944-8252']"
15,"['1944-8244', '1944-8252']"
16,"['1944-8244', '1944-8252']"
17,"['1936-0851', '1936-086X']"
18,"['1936-0851', '1936-086X']"
19,"['1936-0851', '1936-086X']"
20,"['1936-0851', '1936-086X']"
21,"['1936-0851', '1936-086X']"
22,"['1936-0851', '1936-086X']"
23,"['2168-0485', '2168-0485']"
24,['0108-7681']
25,['1359-6454']
26,['1359-6454']
27,['1359-6454']
28,['1359-6454']
29,['1359-6454']
30,['1359-6454']
31,['1359-6454']
32,['1359-6454']
33,['1359-6454']
34,['1359-6454']
35,['1359-6454']
36,['1359-6454']
37,['1359-6454']
38,['1359-6454']
39,['1359-6454']
40,['1359-6454']
41,['1359-6454']
42,['1359-6454']
43,['1359-6454']
44,['1359-6454']
45,['1359-6454']
46,['1359-6454']
47,['1359-6454']
48,['1359-6454']
49,['1359-6454']
50,['1359-6454']
51,['1359-6454']
52,['1359-6454']
53,['1359-6454']
54,['1359-6454']
55,['1359-6454']
56,['1359-6454']
57,['1359-6454']
58,['1359-6454']
59,['1359-6454']
60,['1359-6454']
61,['1359-6454']
62,['1359-6454']
63,['1359-6454']
64,['1359-6454']
65,['1359-6454']
66,['1359-6454']
67,['1359-6454']
68,['1359-6454']
69,['1359-6454']
70,['1359-6454']
71,['1359-6454']
72,['1359-6454']
73,['1359-6454']
74,['1359-6454']
75,['1359-6454']
76,['1359-6454']
77,['1359-6454']
78,['1359-6454']
79,['0001-6705']
80,"['0587-4246', '1898-794X']"
81,"['0587-4246', '1898-794X']"
82,['1614-6832']
83,['1614-6832']
84,['1614-6832']
85,['1614-6832']
86,['1614-6832']
87,['1614-6832']
88,['1614-6832']
89,['1614-6832']
90,['1614-6832']
91,['1614-6832']
92,['1614-6832']
93,['1614-6832']
94,['1614-6832']
95,['1614-6832']
96,['1614-6832']
97,['1614-6832']
98,['1614-6832']
99,"['1438-1656', '1527-2648']"
100,['1438-1656']
101,['1438-1656']
102,['1616-301X']
103,"['1616-301X', '1616-3028']"
104,"['1616-301X', '1616-3028']"
105,"['1616-301X', '1616-3028']"
106,"['1616-301X', '1616-3028']"
107,"['1616-301X', '1616-3028']"
108,"['1616-301X', '1616-3028']"
109,"['1616-301X', '1616-3028']"
110,['1616-301X']
111,['1616-301X']
112,['1616-301X']
113,['1616-301X']
114,['1616-301X']
115,['1616-301X']
116,['1616-301X']
117,['1616-301X']
118,['1616-301X']
119,['1616-301X']
120,['1616-301X']
121,['1616-301X']
122,['1616-301X']
123,['1616-301X']
124,"['0935-9648', '1521-4095']"
125,"['0935-9648', '1521-4095']"
126,"['0935-9648', '1521-4095']"
127,"['0935-9648', '1521-4095']"
128,"['0935-9648', '1521-4095']"
129,"['0935-9648', '1521-4095']"
130,['0935-9648']
131,['0935-9648']
132,['0935-9648']
133,['0935-9648']
134,['0935-9648']
135,['0935-9648']
136,['0935-9648']
137,['0935-9648']
138,['0935-9648']
139,['0935-9648']
140,['0935-9648']
141,['0935-9648']
142,['0935-9648']
143,['0935-9648']
144,['0935-9648']
145,['1662-8985']
146,['0929-1881']
147,['0921-8831']
148,"['1936-6612', '1936-7317']"
149,"['1743-6753', '1743-6761']"
150,"['1743-6753', '1743-6761']"
151,"['1743-6753', '1743-6761']"
152,"['1743-6753', '1743-6761']"
153,"['1687-8434', '1687-8442']"
154,"['0001-8732', '1460-6976']"
155,['0730-6679']
156,['2158-3226']
157,['2158-3226']
158,['2158-3226']
159,['2158-3226']
160,['2158-3226']
161,['2158-3226']
162,['2158-3226']
163,['2158-3226']
164,['2158-3226']
165,"['0002-9505', '1943-2909']"
166,['1433-7851']
167,['1433-7851']
168,['1433-7851']
169,['1433-7851']
170,['1433-7851']
171,['0003-3804']
172,['0947-3580']
173,"['1947-5438', '1947-5446']"
174,"['1531-7331', '1545-4118']"
175,['2166-532X']
176,['2166-532X']
177,['2166-532X']
178,['2166-532X']
179,['2166-532X']
180,['2166-532X']
181,['0306-2619']
182,['0306-2619']
183,['0306-2619']
184,['0306-2619']
185,['0306-2619']
186,['0306-2619']
187,['0306-2619']
188,['0306-2619']
189,['0306-2619']
190,['0306-2619']
191,"['0721-7250', '1432-0630']"
192,"['0721-7250', '1432-0630']"
193,"['0947-8396', '1432-0630']"
194,"['0947-8396', '1432-0630']"
195,"['0947-8396', '1432-0630']"
196,"['0947-8396', '1432-0630']"
197,"['0947-8396', '1432-0630']"
198,"['0947-8396', '1432-0630']"
199,"['0947-8396', '1432-0630']"
200,"['0947-8396', '1432-0630']"
201,"['0947-8396', '1432-0630']"
202,"['0947-8396', '1432-0630']"
203,"['0947-8396', '1432-0630']"
204,"['0947-8396', '1432-0630']"
205,"['0947-8396', '1432-0630']"
206,"['0947-8396', '1432-0630']"
207,"['0947-8396', '1432-0630']"
208,"['1882-0778', '1882-0786']"
209,"['1882-0778', '1882-0786']"
210,"['1882-0778', '1882-0786']"
211,"['1882-0778', '1882-0786']"
212,"['1882-0778', '1882-0786']"
213,"['1882-0778', '1882-0786']"
214,"['1882-0778', '1882-0786']"
215,"['1882-0778', '1882-0786']"
216,"['1882-0778', '1882-0786']"
217,"['1882-0778', '1882-0786']"
218,"['1882-0778', '1882-0786']"
219,"['1882-0778', '1882-0786']"
220,"['0003-6951', '1077-3118']"
221,"['0003-6951', '1077-3118']"
222,"['0003-6951', '1077-3118']"
223,"['0003-6951', '1077-3118']"
224,"['0003-6951', '1077-3118']"
225,"['0003-6951', '1077-3118']"
226,"['0003-6951', '1077-3118']"
227,"['0003-6951', '1077-3118']"
228,"['0003-6951', '1077-3118']"
229,"['0003-6951', '1077-3118']"
230,"['0003-6951', '1077-3118']"
231,"['0003-6951', '1077-3118']"
232,"['0003-6951', '1077-3118']"
233,"['0003-6951', '1077-3118']"
234,"['0003-6951', '1077-3118']"
235,"['0003-6951', '1077-3118']"
236,"['0003-6951', '1077-3118']"
237,"['0003-6951', '1077-3118']"
238,"['0003-6951', '1077-3118']"
239,"['0003-6951', '1077-3118']"
240,"['0003-6951', '1077-3118']"
241,"['0003-6951', '1077-3118']"
242,"['0003-6951', '1077-3118']"
243,"['0003-6951', '1077-3118']"
244,"['0003-6951', '1077-3118']"
245,"['0003-6951', '1077-3118']"
246,"['0003-6951', '1077-3118']"
247,"['0003-6951', '1077-3118']"
248,"['0003-6951', '1077-3118']"
249,"['0003-6951', '1077-3118']"
250,"['0003-6951', '1077-3118']"
251,"['0003-6951', '1077-3118']"
252,"['0003-6951', '1077-3118']"
253,"['0003-6951', '1077-3118']"
254,"['0003-6951', '1077-3118']"
255,"['0003-6951', '1077-3118']"
256,"['0003-6951', '1077-3118']"
257,"['0003-6951', '1077-3118']"
258,"['0003-6951', '1077-3118']"
259,"['0003-6951', '1077-3118']"
260,['0003-6951']
261,"['0003-6951', '1077-3118']"
262,"['0003-6951', '1077-3118']"
263,"['0003-6951', '1077-3118']"
264,"['0003-6951', '1077-3118']"
265,"['0003-6951', '1077-3118']"
