,container_title_short
0,Acc. Chem. Res.
1,ACS Appl. Mater. Interfaces
2,ACS Appl. Mater. Interfaces
3,ACS Appl. Mater. Interfaces
4,ACS Appl. Mater. Interfaces
5,ACS Appl. Mater. Interfaces
6,ACS Appl. Mater. Interfaces
7,ACS Appl. Mater. Interfaces
8,ACS Appl. Mater. Interfaces
9,ACS Appl. Mater. Interfaces
10,ACS Appl. Mater. Interfaces
11,ACS Appl. Mater. Interfaces
12,ACS Appl. Mater. Interfaces
13,ACS Appl. Mater. Interfaces
14,ACS Appl. Mater. Interfaces
15,ACS Appl. Mater. Interfaces
16,ACS Appl. Mater. Interfaces
17,ACS Nano
18,ACS Nano
19,ACS Nano
20,ACS Nano
21,ACS Nano
22,ACS Nano
23,ACS Sustainable Chem. Eng.
24,Acta Crystallogr Sect B
25,Acta Materialia
26,Acta Materialia
27,Acta Materialia
28,Acta Materialia
29,Acta Materialia
30,Acta Materialia
31,Acta Materialia
32,Acta Materialia
33,Acta Materialia
34,Acta Materialia
35,Acta Materialia
36,Acta Materialia
37,Acta Materialia
38,Acta Materialia
39,Acta Materialia
40,Acta Materialia
41,Acta Materialia
42,Acta Materialia
43,Acta Materialia
44,Acta Materialia
45,Acta Materialia
46,Acta Materialia
47,Acta Materialia
48,Acta Materialia
49,Acta Materialia
50,Acta Materialia
51,Acta Materialia
52,Acta Materialia
53,Acta Materialia
54,Acta Materialia
55,Acta Materialia
56,Acta Materialia
57,Acta Materialia
58,Acta Materialia
59,Acta Materialia
60,Acta Materialia
61,Acta Materialia
62,Acta Materialia
63,Acta Materialia
64,Acta Materialia
65,Acta Materialia
66,Acta Materialia
67,Acta Materialia
68,Acta Materialia
69,Acta Materialia
70,Acta Materialia
71,Acta Materialia
72,Acta Materialia
73,Acta Materialia
74,Acta Materialia
75,Acta Materialia
76,Acta Materialia
77,Acta Materialia
78,Acta Materialia
79,Acta Physica
80,Acta Phys. Pol. A
81,Acta Phys. Pol. A
82,Adv. Energy Mater.
83,Adv. Energy Mater.
