,is_referenced_by_count
0,29.0
1,166.0
2,17.0
3,18.0
4,2.0
5,18.0
6,7.0
7,18.0
8,11.0
9,7.0
10,10.0
11,15.0
12,9.0
13,4.0
14,2.0
15,2.0
16,27.0
17,54.0
18,95.0
19,44.0
20,63.0
21,15.0
22,20.0
23,1.0
24,13.0
25,49.0
26,1.0
27,31.0
28,11.0
29,44.0
30,14.0
31,150.0
32,93.0
33,25.0
34,36.0
35,42.0
36,32.0
37,60.0
38,41.0
39,6.0
40,17.0
41,35.0
42,11.0
43,25.0
44,9.0
45,30.0
46,24.0
47,28.0
48,43.0
49,6.0
50,30.0
51,10.0
52,32.0
53,16.0
54,27.0
55,20.0
56,26.0
57,30.0
58,23.0
59,19.0
60,11.0
61,14.0
62,10.0
63,14.0
64,31.0
65,16.0
66,21.0
67,29.0
68,10.0
69,17.0
70,97.0
71,8.0
72,11.0
73,4.0
74,6.0
75,6.0
76,3.0
77,25.0
78,2.0
79,0.0
80,0.0
81,0.0
82,184.0
83,9.0
84,37.0
85,58.0
86,50.0
87,9.0
88,166.0
89,53.0
90,53.0
91,44.0
92,61.0
93,84.0
94,63.0
95,11.0
96,59.0
97,69.0
98,46.0
99,23.0
100,17.0
101,2.0
102,170.0
103,187.0
104,122.0
105,185.0
106,216.0
107,170.0
108,393.0
109,101.0
110,83.0
111,219.0
112,15.0
113,8.0
114,96.0
115,102.0
116,97.0
117,43.0
118,50.0
119,91.0
120,29.0
121,52.0
122,24.0
123,16.0
124,236.0
125,62.0
126,1743.0
127,95.0
128,42.0
129,161.0
130,67.0
131,48.0
132,21.0
133,127.0
134,119.0
135,12.0
136,75.0
137,26.0
138,85.0
139,85.0
140,81.0
141,21.0
142,76.0
143,66.0
144,168.0
145,0.0
146,11.0
147,3.0
148,1.0
149,3.0
150,27.0
151,2.0
152,2.0
153,0.0
154,111.0
155,2.0
156,17.0
157,5.0
158,20.0
159,2.0
160,0.0
161,3.0
162,4.0
163,5.0
164,1.0
165,1.0
166,37.0
167,22.0
168,55.0
169,34.0
170,14.0
171,3.0
172,1.0
173,6.0
174,280.0
175,9.0
176,4.0
177,4.0
178,4.0
179,2.0
180,7.0
181,5.0
182,20.0
183,18.0
184,17.0
185,49.0
186,77.0
187,28.0
188,49.0
189,6.0
190,21.0
191,1.0
192,5.0
193,31.0
194,11.0
195,4.0
196,4.0
197,29.0
198,12.0
199,17.0
200,13.0
201,2.0
202,25.0
203,12.0
204,28.0
205,5.0
206,1.0
207,0.0
208,21.0
209,28.0
210,29.0
211,38.0
212,27.0
213,3.0
214,13.0
215,64.0
216,50.0
217,3.0
218,2.0
219,6.0
220,65.0
221,3.0
222,1.0
223,25.0
224,612.0
225,32.0
226,17.0
227,26.0
228,21.0
229,71.0
230,107.0
231,40.0
232,24.0
233,214.0
234,13.0
235,2.0
236,116.0
237,35.0
238,35.0
239,147.0
240,104.0
241,18.0
242,9.0
243,43.0
244,13.0
245,9.0
246,118.0
247,19.0
248,17.0
249,32.0
250,116.0
251,29.0
252,202.0
253,12.0
254,30.0
255,5.0
256,41.0
257,44.0
258,21.0
259,28.0
260,19.0
261,66.0
262,30.0
263,182.0
264,7.0
265,242.0
266,80.0
267,53.0
268,15.0
269,71.0
270,154.0
271,45.0
272,68.0
273,25.0
274,75.0
275,130.0
276,36.0
277,30.0
278,25.0
279,118.0
280,24.0
281,28.0
282,54.0
283,78.0
284,46.0
285,13.0
286,33.0
287,47.0
288,38.0
289,30.0
290,12.0
291,25.0
292,12.0
293,30.0
294,37.0
295,3.0
296,21.0
297,18.0
298,5.0
299,11.0
300,24.0
301,8.0
302,30.0
303,10.0
304,30.0
305,19.0
306,16.0
307,60.0
308,23.0
309,3.0
310,62.0
311,49.0
312,14.0
313,8.0
314,21.0
315,35.0
316,50.0
317,14.0
318,38.0
319,36.0
320,41.0
321,6.0
322,33.0
323,4.0
324,4.0
325,0.0
326,34.0
327,17.0
328,7.0
329,14.0
330,11.0
331,14.0
332,6.0
333,21.0
334,7.0
335,7.0
336,19.0
337,23.0
338,1.0
339,30.0
340,31.0
341,10.0
342,45.0
343,6.0
344,15.0
345,10.0
346,9.0
347,17.0
348,11.0
349,8.0
350,17.0
351,20.0
352,3.0
353,19.0
354,18.0
355,7.0
356,7.0
357,8.0
358,9.0
359,17.0
360,12.0
361,27.0
362,11.0
363,7.0
364,4.0
365,14.0
366,100.0
367,11.0
368,3.0
369,5.0
370,15.0
371,14.0
372,4.0
373,16.0
374,29.0
375,7.0
376,31.0
377,17.0
378,7.0
379,3.0
380,6.0
381,3.0
382,11.0
383,5.0
384,22.0
385,11.0
386,4.0
387,4.0
388,2.0
389,0.0
390,2.0
391,0.0
392,4.0
393,1.0
394,2.0
395,1.0
396,36.0
397,12.0
398,10.0
399,35.0
400,10.0
401,5.0
402,0.0
403,2.0
404,0.0
405,0.0
406,0.0
407,23.0
408,13.0
409,6.0
410,8.0
411,1.0
412,0.0
413,2.0
414,4.0
415,4.0
416,13.0
417,4.0
418,11.0
419,6.0
420,0.0
421,1.0
422,1.0
423,19.0
424,21.0
425,11.0
426,7.0
427,15.0
428,29.0
429,90.0
430,48.0
431,6.0
432,5.0
433,12.0
434,0.0
435,4.0
436,22.0
437,40.0
438,5.0
439,28.0
440,15.0
441,10.0
442,7.0
443,6.0
444,7.0
445,10.0
446,10.0
447,10.0
448,11.0
449,21.0
450,23.0
451,32.0
452,11.0
453,4.0
454,5.0
455,12.0
456,9.0
457,7.0
458,6.0
459,4.0
460,4.0
461,4.0
462,7.0
463,16.0
464,1.0
465,15.0
466,3.0
467,5.0
468,9.0
469,2.0
470,75.0
471,80.0
472,1.0
473,8.0
474,14.0
475,5.0
476,8.0
477,4.0
478,8.0
479,8.0
480,10.0
481,15.0
482,3.0
483,46.0
484,105.0
485,20.0
486,9.0
487,14.0
488,4.0
489,15.0
490,11.0
491,13.0
492,0.0
493,33.0
494,19.0
495,28.0
496,28.0
497,26.0
498,137.0
499,343.0
500,15.0
501,35.0
502,69.0
503,12.0
504,61.0
505,49.0
506,21.0
507,75.0
508,43.0
509,18.0
510,22.0
511,84.0
512,45.0
513,40.0
514,64.0
515,32.0
516,16.0
517,65.0
518,47.0
519,101.0
520,30.0
521,23.0
522,25.0
523,5.0
524,84.0
525,55.0
526,56.0
527,22.0
528,71.0
529,95.0
530,48.0
531,24.0
532,48.0
533,12.0
534,42.0
535,33.0
536,30.0
537,4.0
538,16.0
539,60.0
540,19.0
541,15.0
542,22.0
543,25.0
544,17.0
545,6.0
546,8.0
547,14.0
548,14.0
549,25.0
550,23.0
551,15.0
552,24.0
553,55.0
554,70.0
555,28.0
556,37.0
557,21.0
558,4.0
559,12.0
560,16.0
561,10.0
562,11.0
563,15.0
564,14.0
565,13.0
566,4.0
567,12.0
568,12.0
569,5.0
570,5.0
571,5.0
572,6.0
573,10.0
574,0.0
575,1.0
576,14.0
577,9.0
578,4.0
579,33.0
580,8.0
581,1.0
582,7.0
583,4.0
584,9.0
585,1.0
586,4.0
587,0.0
588,0.0
589,0.0
590,11.0
591,0.0
592,4.0
593,4.0
594,0.0
595,0.0
596,11.0
597,1.0
598,4.0
599,1.0
600,0.0
601,2.0
602,12.0
603,15.0
604,12.0
605,12.0
606,19.0
607,2.0
608,21.0
609,2.0
610,21.0
611,26.0
612,5.0
613,4.0
614,2.0
615,1.0
616,13.0
617,3.0
618,2.0
619,0.0
620,3.0
621,26.0
622,14.0
623,46.0
624,6.0
625,6.0
626,1.0
627,7.0
628,66.0
629,8.0
630,1.0
631,7.0
632,10.0
633,11.0
634,36.0
635,0.0
636,23.0
637,7.0
638,1.0
639,5.0
640,8.0
641,0.0
642,10.0
643,39.0
644,7.0
645,32.0
646,6.0
647,22.0
648,11.0
649,10.0
650,13.0
651,3.0
652,2.0
653,10.0
654,50.0
655,10.0
656,5.0
657,5.0
658,4.0
659,1.0
660,5.0
661,4.0
662,2.0
663,8.0
664,10.0
665,5.0
666,2.0
667,14.0
668,3.0
669,1.0
670,208.0
671,156.0
672,19.0
673,27.0
674,25.0
675,16.0
676,86.0
677,23.0
678,58.0
679,43.0
680,6.0
681,11.0
682,16.0
683,6.0
684,31.0
685,6.0
686,28.0
687,3.0
688,17.0
689,16.0
690,16.0
691,4.0
692,28.0
693,15.0
694,9.0
695,10.0
696,8.0
697,9.0
698,6.0
699,7.0
700,9.0
701,9.0
702,6.0
703,7.0
704,0.0
705,11.0
706,6.0
707,8.0
708,4.0
709,7.0
710,5.0
711,4.0
712,25.0
713,4.0
714,16.0
715,13.0
716,11.0
717,14.0
718,8.0
719,4.0
720,14.0
721,4.0
722,3.0
723,5.0
724,15.0
725,5.0
726,2.0
727,1.0
728,0.0
729,3.0
730,0.0
731,0.0
732,4.0
733,30.0
734,0.0
735,3.0
736,66.0
737,51.0
738,20.0
739,34.0
740,16.0
741,50.0
742,20.0
743,22.0
744,15.0
745,3.0
746,23.0
747,3.0
748,16.0
749,11.0
750,5.0
751,69.0
752,239.0
753,160.0
754,46.0
755,63.0
756,95.0
757,25.0
758,78.0
759,61.0
760,46.0
761,27.0
762,70.0
763,47.0
764,42.0
765,81.0
766,46.0
767,35.0
768,0.0
769,3.0
770,0.0
771,0.0
772,1.0
773,22.0
774,15.0
775,1.0
776,10.0
777,7.0
778,49.0
779,23.0
780,14.0
781,18.0
782,26.0
783,53.0
784,7.0
785,28.0
786,15.0
787,10.0
788,20.0
789,16.0
790,1.0
791,1.0
792,23.0
793,1.0
794,10.0
795,9.0
796,1.0
797,1.0
798,7.0
799,5.0
800,0.0
801,1.0
802,8.0
803,3.0
804,6.0
805,16.0
806,7.0
807,1.0
808,1.0
809,0.0
810,23.0
811,7.0
812,34.0
813,8.0
814,4.0
815,5.0
816,6.0
817,3.0
818,10.0
819,5.0
820,0.0
821,3.0
822,0.0
823,1.0
824,5.0
825,4.0
826,1.0
827,2.0
828,2.0
829,2.0
830,3.0
831,0.0
832,2.0
833,0.0
834,0.0
835,1.0
836,3.0
837,7.0
838,6.0
839,3.0
840,29.0
841,1.0
842,4.0
843,2.0
844,1.0
845,1.0
846,0.0
847,0.0
848,3.0
849,0.0
850,3.0
851,0.0
852,2.0
853,6.0
854,1.0
855,0.0
856,2.0
857,1.0
858,2.0
859,8.0
860,0.0
861,2.0
862,2.0
863,0.0
864,0.0
865,1.0
866,3.0
867,0.0
868,11.0
869,4.0
870,0.0
871,2.0
872,0.0
873,1.0
874,11.0
875,0.0
876,2.0
877,0.0
878,2.0
879,0.0
880,0.0
881,1.0
882,0.0
883,0.0
884,0.0
885,2.0
886,1.0
887,0.0
888,3.0
889,29.0
890,0.0
891,5.0
892,0.0
893,0.0
894,0.0
895,4.0
896,12.0
897,32.0
898,17.0
899,15.0
900,5.0
901,4.0
902,1.0
903,20.0
904,10.0
905,3.0
906,65.0
907,63.0
908,23.0
909,3.0
910,4.0
911,4.0
912,4.0
913,5.0
914,0.0
915,15.0
916,116.0
917,36.0
918,5.0
919,51.0
920,13.0
921,19.0
922,19.0
923,4.0
924,9.0
925,3.0
926,11.0
927,31.0
928,7.0
929,7.0
930,10.0
931,8.0
932,6.0
933,18.0
934,7.0
935,13.0
936,0.0
937,9.0
938,7.0
939,42.0
940,5.0
941,13.0
942,6.0
943,3.0
944,11.0
945,9.0
946,1.0
947,10.0
948,15.0
949,0.0
950,0.0
951,0.0
952,5.0
953,10.0
954,1.0
955,2.0
956,0.0
957,1.0
958,11.0
959,4.0
960,1.0
961,4.0
962,4.0
963,3.0
964,7.0
965,5.0
966,0.0
967,0.0
968,1.0
969,5.0
970,23.0
971,31.0
972,12.0
973,17.0
974,6.0
975,55.0
976,1.0
977,131.0
978,12.0
979,68.0
980,10.0
981,5.0
982,69.0
983,14.0
984,70.0
985,5.0
986,27.0
987,12.0
988,13.0
989,17.0
990,10.0
991,1.0
992,5.0
993,11.0
994,5.0
995,17.0
996,20.0
997,10.0
998,29.0
999,11.0
1000,10.0
1001,27.0
1002,5.0
1003,9.0
1004,17.0
1005,3.0
1006,6.0
1007,9.0
1008,10.0
1009,16.0
1010,5.0
1011,2.0
1012,3.0
1013,5.0
1014,6.0
1015,5.0
1016,10.0
1017,6.0
1018,7.0
1019,8.0
1020,8.0
1021,7.0
1022,11.0
1023,10.0
1024,15.0
1025,35.0
1026,
1027,4.0
1028,7.0
1029,22.0
1030,0.0
1031,37.0
1032,31.0
1033,4.0
1034,20.0
1035,14.0
1036,16.0
1037,1.0
1038,24.0
1039,0.0
1040,2.0
1041,0.0
1042,0.0
1043,4.0
1044,4.0
1045,1.0
1046,0.0
1047,1.0
1048,1.0
1049,6.0
1050,1.0
1051,0.0
1052,1.0
1053,0.0
1054,1.0
1055,2.0
1056,2.0
1057,1.0
1058,1.0
1059,6.0
1060,0.0
1061,24.0
1062,0.0
1063,23.0
1064,0.0
1065,3.0
1066,0.0
1067,498.0
1068,1.0
1069,4.0
1070,7.0
1071,2.0
1072,11.0
1073,6.0
1074,8.0
1075,22.0
1076,18.0
1077,6.0
1078,2.0
1079,5.0
1080,5.0
1081,10.0
1082,19.0
1083,8.0
1084,8.0
1085,6.0
1086,1.0
1087,7.0
1088,0.0
1089,8.0
1090,2.0
1091,1.0
1092,5.0
1093,1.0
1094,0.0
1095,7.0
1096,1.0
1097,1.0
1098,6.0
1099,19.0
1100,11.0
1101,0.0
1102,6.0
1103,0.0
1104,23.0
1105,27.0
1106,29.0
1107,52.0
1108,1.0
1109,61.0
1110,4.0
1111,2.0
1112,27.0
1113,14.0
1114,0.0
1115,21.0
1116,1.0
1117,11.0
1118,12.0
1119,47.0
1120,3.0
1121,22.0
1122,1.0
1123,27.0
1124,34.0
1125,13.0
1126,16.0
1127,25.0
1128,39.0
1129,19.0
1130,2.0
1131,3.0
1132,5.0
1133,0.0
1134,0.0
1135,5.0
1136,3.0
1137,11.0
1138,2.0
1139,7.0
1140,28.0
1141,9.0
1142,25.0
1143,135.0
1144,23.0
1145,19.0
1146,13.0
1147,15.0
1148,34.0
1149,57.0
1150,80.0
1151,5.0
1152,12.0
1153,93.0
1154,38.0
1155,27.0
1156,46.0
1157,69.0
1158,17.0
1159,21.0
1160,66.0
1161,19.0
1162,39.0
1163,52.0
1164,20.0
1165,44.0
1166,7.0
1167,17.0
1168,29.0
1169,4.0
1170,34.0
1171,31.0
1172,12.0
1173,30.0
1174,25.0
1175,32.0
1176,20.0
1177,21.0
1178,6.0
1179,77.0
1180,3.0
1181,38.0
