,issue
0,4
1,11
2,6
3,14
4,2
5,6
6,21
7,13
8,15
9,17
10,17
11,18
12,26
13,33
14,34
15,41
16,42
17,11
18,9
19,11
20,3
21,11
22,7
23,6
24,6
25,8
26,12
27,15
28,1
29,3
30,6
31,9
32,11
33,17
34,19
35,12
36,13
37,14
38,1
39,3
40,8
41,12
42,12
43,13
44,4
45,5
46,5
47,8
48,11
49,11
50,20
51,20
52,5
53,9
54,11
55,18
56,18
57,20
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,1-4
80,4
81,5
82,4
83,6
84,1
85,6
86,9
87,10
88,3
89,4
90,6
91,9
92,9
93,9
94,13
95,14
96,5
97,12
98,17
99,5
100,5
101,10
102,12
103,11
104,18
105,19
106,15
107,21
108,3
109,5
110,24
111,2
112,13
113,18
114,12
115,35
116,41
117,44
118,24
119,33
120,47
121,6
122,20
123,42
124,9
125,22
126,8
127,10
128,31
129,37
130,17
131,19
132,20
133,47
134,27
135,32
136,46
137,7
138,10
139,11
140,36
141,15
142,18
143,23
144,40
145,
146,2
147,5
148,1
149,1-2
150,8
151,6
152,6
153,
154,64
155,S1
156,4
157,1
158,3
159,11
160,5
161,9
162,10
163,11
164,12
165,5
166,6
167,5
168,6
169,44
170,50
171,1
172,6
173,1
174,1
175,3
176,6
177,8
178,9
179,4
180,4
181,2
182,2
183,10
184,9
185,12
186,
187,
188,
189,
190,
191,3
192,2
193,5
194,5
195,1-2
196,4
197,2
198,4
199,4
200,4
201,2
202,4
203,2
204,2
205,3
206,3
207,1
208,1
209,
210,
211,9
212,5
213,6
214,3
215,5
216,4
217,11
218,5
219,11
220,1
221,5
222,7
223,16
224,2
225,13
226,16
227,26
228,26
229,13
230,13
231,9
232,14
233,8
234,25
235,4
236,6
237,20
238,2
239,4
240,9
241,22
242,26
243,5
244,7
245,9
246,9
247,16
248,17
249,17
250,22
251,24
252,1
253,5
254,11
255,18
256,23
257,5
258,6
259,13
260,1
261,4
262,9
263,14
264,14
265,18
266,20
267,22
268,4
269,6
270,10
271,20
272,25
273,2
274,9
275,12
276,12
277,15
278,20
279,26
280,1
281,8
282,11
283,19
284,21
285,14
286,14
287,15
288,16
289,20
290,26
291,5
292,5
293,7
294,11
295,13
296,15
297,19
298,25
299,25
300,1
301,4
302,7
303,14
304,16
305,17
306,24
307,26
308,26
309,1
310,5
311,6
312,6
313,6
314,10
315,11
316,12
317,20
318,4
319,7
320,7
321,8
322,9
323,9
324,10
325,20
326,23
327,25
328,25
329,2
330,3
331,3
332,10
333,10
334,11
335,13
336,13
337,13
338,14
339,15
340,18
341,22
342,12
343,14
344,14
345,15
346,18
347,21
348,22
349,3
350,5
351,6
352,9
353,14
354,14
355,24
356,24
357,1
358,2
359,3
360,4
361,8
362,11
363,12
364,13
365,19
366,21
367,2
368,3
369,3
370,6
371,6
372,8
373,8
374,13
375,13
376,13
377,26
378,5
379,6
380,11
381,14
382,14
383,19
384,23
385,4
386,12
387,15
388,20
389,1
390,3
391,2
392,
393,
394,
395,
396,8-9
397,14-15
398,8-9
399,1-2
400,1-2
401,
402,1-2
403,7
404,2
405,1
406,
407,
408,
409,
410,1
411,2
412,4
413,1
414,8
415,3
416,6
417,5
418,2
419,6
420,7
421,5
422,5
423,1
424,2
425,3
426,3
427,4
428,3
429,8
430,
431,
432,
433,
434,
435,1
436,4
437,8
438,3
439,1
440,7
441,2
442,2
443,5
444,6
445,7
446,2
447,2
448,2
449,2
450,3
451,6
452,6
453,7
454,4
455,4
456,4
457,6
458,10
459,7
460,8
461,10
462,1
463,1
464,5
465,5
466,5
467,5
468,6
469,10
470,47
471,32
472,9
473,4-6
474,
475,
476,
477,
478,
479,
480,
481,1
482,3
483,18
484,16
485,42
486,4
487,8
488,19
489,46
490,1
491,10
492,10
493,4
494,15
495,11
496,14
497,24
498,3
499,7
500,16
501,20
502,8
503,16
504,20
505,25
506,7
507,10
508,10
509,1
510,1
511,4
512,7
513,8
514,19
515,3
516,3
517,3
518,3
519,3
520,7
521,9
522,9
523,13
524,22
525,17
526,19
527,22
528,23
529,3
530,13
531,15
532,23
533,9
534,15
535,18
536,20
537,24
538,3
539,6
540,7
541,8
542,8
543,8
544,8
545,8
546,15
547,17
548,19
549,19
550,22
551,24
552,1
553,2
554,2
555,3
556,4
557,5
558,5
559,6
560,8
561,11
562,12
563,14
564,16
565,18
566,19
567,20
568,21
569,21
570,22
571,24
572,9
573,12
574,4
575,02
576,7
577,3
578,4
579,8
580,10
581,10
582,10
583,5
584,1
585,3
586,11
587,3
588,6
589,9
590,8
591,4
592,1
593,4
594,3
595,12
596,7
597,5-6
598,4
599,2
600,3
601,3
602,10
603,
604,1
605,
606,
607,
608,3
609,11
610,
611,
612,
613,
614,
615,
616,
617,
618,
619,
620,
621,1
622,
623,1
624,5
625,
626,4
627,4
628,3
629,9
630,
631,1
632,
633,
634,9
635,7
636,5
637,5
638,6
639,4
640,7
641,7
642,5
643,6
644,13
645,13
646,15
647,34
648,36
649,36
650,44
651,34
652,41
653,18
654,2
655,3
656,5
657,3
658,3
659,1
660,1
661,1
662,8
663,9
664,3
665,3
666,9
667,5
668,5
669,6
670,21
671,4
672,4
673,4
674,4
675,4
676,4
677,4
678,4
679,4
680,4
681,4
682,4
683,4
684,36
685,8
686,26
687,2
688,4
689,12
690,27
691,37
692,40
693,40
694,42
695,44
696,3
697,5
698,6
699,7
700,15
701,17
702,23
703,33
704,
705,
706,10
707,3
708,3
709,3
710,4
711,4
712,4
713,4
714,4
715,1
716,3
717,3
718,6
719,4
720,4
721,4
722,4
723,4
724,4
725,1
726,1
727,2
728,3
729,3
730,3
731,12
732,7
733,7
734,10
735,11
736,5
737,1
738,
739,
740,
741,
742,
743,
744,
745,
746,
747,
748,
749,
750,
751,10
752,6
753,6
754,10
755,10
756,5
757,9
758,10
759,10
760,5
761,6
762,2
763,2
764,12
765,1
766,3
767,7
768,2
769,3
770,1-2
771,3
772,4
773,4
774,4
775,4
776,2
777,3
778,4
779,11
780,8
781,12
782,
783,
784,
785,
786,
787,
788,
789,
790,
791,
792,
793,
794,
795,
796,2
797,2
798,8
799,11
800,6
801,11
802,2
803,1
804,5
805,5
806,4
807,3
808,1
809,1
810,5
811,26
812,26
813,1
814,15
815,22
816,1
817,4
818,3
819,6
820,8
821,11
822,4
823,11
824,12
825,3
826,5
827,6
828,12
829,12
830,1
831,1
832,1
833,1
834,1-3
835,
836,1
837,04
838,05
839,05
840,05
841,05
842,05
843,05
844,05
845,02
846,02
847,03
848,03
849,04
850,05
851,06
852,01
853,02
854,10
855,6
856,6
857,1
858,1
859,8
860,8
861,9
862,2
863,6
864,7
865,12
866,1
867,9
868,4
869,4
870,4
871,4
872,4
873,4
874,4
875,4
876,3
877,6
878,3
879,4
880,4
881,4
882,4
883,2
884,2
885,8
886,1
887,3
888,4
889,1
890,
891,17
892,
893,3
894,1
895,3
896,6
897,2
898,1
899,2
900,4
901,4
902,6
903,7
904,1
905,10
906,1
907,2
908,3
909,
910,6
911,7
912,1
913,1
914,3
915,7
916,18
917,18
918,13
919,7
920,10
921,10
922,14
