,member
0,316
1,316
2,316
3,316
4,316
5,316
6,316
7,316
8,316
9,316
10,316
11,316
12,316
13,316
14,316
15,316
16,316
17,316
18,316
19,316
20,316
21,316
22,316
23,316
24,329
25,78
26,78
27,78
28,78
29,78
30,78
31,78
32,78
33,78
34,78
35,78
36,78
37,78
38,78
39,78
40,78
41,78
42,78
43,78
44,78
45,78
46,78
47,78
48,78
49,78
50,78
51,78
52,78
53,78
54,78
55,78
56,78
57,78
58,78
59,78
60,78
61,78
62,78
63,78
64,78
65,78
66,78
67,78
68,78
69,78
70,78
71,78
72,78
73,78
74,78
75,78
76,78
77,78
78,78
79,297
80,4961
81,4961
82,311
83,311
84,311
85,311
86,311
87,311
88,311
89,311
90,311
91,311
92,311
93,311
94,311
95,311
96,311
97,311
98,311
99,311
100,311
101,311
102,311
103,311
104,311
105,311
106,311
107,311
108,311
109,311
110,311
111,311
112,311
113,311
114,311
115,311
116,311
117,311
118,311
119,311
120,311
121,311
122,311
123,311
124,311
125,311
126,311
127,311
128,311
129,311
130,311
131,311
132,311
133,311
134,311
135,311
136,311
137,311
138,311
139,311
140,311
141,311
142,311
143,311
144,311
145,2457
146,297
147,78
148,17
149,301
150,301
151,301
152,301
153,98
154,301
155,311
156,317
157,317
158,317
159,317
160,317
161,317
162,317
163,317
164,317
165,3
166,311
167,311
168,311
169,311
170,311
171,311
172,1762
173,22
174,22
175,317
176,317
177,317
178,317
179,317
180,317
181,78
182,78
183,78
184,78
185,78
186,78
187,78
188,78
189,78
190,78
191,297
192,297
193,297
194,297
195,297
196,297
197,297
198,297
199,297
200,297
201,297
202,297
203,297
204,297
205,297
206,297
207,297
208,266
209,266
210,266
211,266
212,266
213,266
214,266
215,266
216,328
217,328
218,328
219,328
220,317
221,317
222,317
223,317
224,317
225,317
226,317
227,317
228,317
229,317
230,317
231,317
232,317
233,317
234,317
235,317
236,317
237,317
238,317
239,317
240,317
241,317
242,317
243,317
244,317
245,317
246,317
247,317
248,317
249,317
250,317
251,317
252,317
253,317
254,317
255,317
256,317
257,317
258,317
259,317
260,317
261,317
262,317
263,317
264,317
265,317
266,317
267,317
268,317
269,317
270,317
271,317
272,317
273,317
274,317
275,317
276,317
277,317
278,317
279,317
280,317
281,317
282,317
283,317
284,317
285,317
286,317
287,317
288,317
289,317
290,317
291,317
292,317
293,317
294,317
295,317
296,317
297,317
298,317
299,317
300,317
301,317
302,317
303,317
304,317
305,317
306,317
307,317
308,317
309,317
310,317
311,317
312,317
313,317
314,317
315,317
316,317
317,317
318,317
319,317
