,published_online
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,"{'date_parts': [[2008, 11, 8]]}"
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,"{'date_parts': [[2011, 6, 9]]}"
83,"{'date_parts': [[2011, 9, 8]]}"
84,"{'date_parts': [[2011, 12, 13]]}"
85,"{'date_parts': [[2012, 3, 19]]}"
86,"{'date_parts': [[2012, 5, 21]]}"
87,"{'date_parts': [[2012, 6, 15]]}"
88,"{'date_parts': [[2012, 10, 18]]}"
89,"{'date_parts': [[2012, 11, 7]]}"
90,"{'date_parts': [[2013, 3, 20]]}"
91,"{'date_parts': [[2013, 5, 10]]}"
92,"{'date_parts': [[2013, 5, 24]]}"
93,"{'date_parts': [[2013, 4, 30]]}"
94,"{'date_parts': [[2014, 5, 7]]}"
95,"{'date_parts': [[2014, 5, 26]]}"
96,"{'date_parts': [[2014, 11, 14]]}"
97,"{'date_parts': [[2015, 4, 22]]}"
98,"{'date_parts': [[2015, 6, 18]]}"
99,
100,"{'date_parts': [[2012, 12, 20]]}"
101,"{'date_parts': [[2014, 7, 10]]}"
102,"{'date_parts': [[2004, 12, 9]]}"
103,
104,
105,
106,
107,
108,
109,
110,"{'date_parts': [[2010, 9, 24]]}"
111,"{'date_parts': [[2010, 11, 9]]}"
112,"{'date_parts': [[2012, 4, 12]]}"
113,"{'date_parts': [[2012, 6, 5]]}"
114,"{'date_parts': [[2012, 10, 22]]}"
115,"{'date_parts': [[2013, 4, 10]]}"
116,"{'date_parts': [[2013, 4, 30]]}"
117,"{'date_parts': [[2013, 6, 17]]}"
118,"{'date_parts': [[2014, 4, 1]]}"
119,"{'date_parts': [[2014, 6, 2]]}"
120,"{'date_parts': [[2014, 9, 15]]}"
121,"{'date_parts': [[2014, 12, 28]]}"
122,"{'date_parts': [[2015, 4, 7]]}"
123,"{'date_parts': [[2015, 10, 8]]}"
124,
125,
126,
127,
128,
129,
130,"{'date_parts': [[2010, 3, 1]]}"
131,"{'date_parts': [[2011, 4, 5]]}"
132,"{'date_parts': [[2011, 4, 15]]}"
133,"{'date_parts': [[2011, 11, 4]]}"
134,"{'date_parts': [[2012, 6, 12]]}"
135,"{'date_parts': [[2012, 7, 16]]}"
136,"{'date_parts': [[2012, 9, 10]]}"
137,"{'date_parts': [[2012, 12, 13]]}"
138,"{'date_parts': [[2012, 11, 15]]}"
139,"{'date_parts': [[2013, 1, 28]]}"
140,"{'date_parts': [[2013, 7, 30]]}"
