,published_print
0,"{'date_parts': [[2014, 4, 15]]}"
1,"{'date_parts': [[2010, 11, 24]]}"
2,"{'date_parts': [[2012, 6, 27]]}"
3,"{'date_parts': [[2013, 7, 24]]}"
4,"{'date_parts': [[2014, 1, 22]]}"
5,"{'date_parts': [[2014, 3, 26]]}"
6,"{'date_parts': [[2014, 11, 12]]}"
7,"{'date_parts': [[2015, 4, 8]]}"
8,"{'date_parts': [[2015, 4, 22]]}"
9,"{'date_parts': [[2015, 5, 6]]}"
10,"{'date_parts': [[2015, 5, 6]]}"
11,"{'date_parts': [[2015, 5, 13]]}"
12,"{'date_parts': [[2015, 7, 8]]}"
13,"{'date_parts': [[2015, 8, 26]]}"
14,"{'date_parts': [[2015, 9, 2]]}"
15,"{'date_parts': [[2015, 10, 21]]}"
16,"{'date_parts': [[2015, 10, 28]]}"
17,"{'date_parts': [[2009, 11, 24]]}"
18,"{'date_parts': [[2010, 9, 28]]}"
19,"{'date_parts': [[2011, 11, 22]]}"
20,"{'date_parts': [[2013, 3, 26]]}"
21,"{'date_parts': [[2013, 11, 26]]}"
22,"{'date_parts': [[2015, 7, 28]]}"
23,"{'date_parts': [[2013, 6, 3]]}"
24,"{'date_parts': [[2008, 12, 1]]}"
25,"{'date_parts': [[2006, 5]]}"
26,"{'date_parts': [[2007, 7]]}"
27,"{'date_parts': [[2007, 9]]}"
28,"{'date_parts': [[2009, 1]]}"
29,"{'date_parts': [[2009, 2]]}"
30,"{'date_parts': [[2009, 4]]}"
31,"{'date_parts': [[2009, 5]]}"
32,"{'date_parts': [[2009, 6]]}"
33,"{'date_parts': [[2009, 10]]}"
34,"{'date_parts': [[2009, 11]]}"
35,"{'date_parts': [[2010, 7]]}"
36,"{'date_parts': [[2010, 8]]}"
37,"{'date_parts': [[2010, 8]]}"
38,"{'date_parts': [[2011, 1]]}"
39,"{'date_parts': [[2011, 2]]}"
40,"{'date_parts': [[2011, 5]]}"
41,"{'date_parts': [[2011, 7]]}"
42,"{'date_parts': [[2011, 7]]}"
43,"{'date_parts': [[2011, 8]]}"
44,"{'date_parts': [[2012, 2]]}"
45,"{'date_parts': [[2012, 3]]}"
46,"{'date_parts': [[2012, 3]]}"
47,"{'date_parts': [[2012, 5]]}"
48,"{'date_parts': [[2012, 6]]}"
49,"{'date_parts': [[2012, 6]]}"
50,"{'date_parts': [[2012, 12]]}"
51,"{'date_parts': [[2012, 12]]}"
52,"{'date_parts': [[2013, 3]]}"
53,"{'date_parts': [[2013, 5]]}"
54,"{'date_parts': [[2013, 6]]}"
55,"{'date_parts': [[2013, 10]]}"
56,"{'date_parts': [[2013, 10]]}"
57,"{'date_parts': [[2013, 12]]}"
58,"{'date_parts': [[2014, 2]]}"
59,"{'date_parts': [[2014, 7]]}"
60,"{'date_parts': [[2014, 7]]}"
61,"{'date_parts': [[2014, 8]]}"
62,"{'date_parts': [[2014, 8]]}"
63,"{'date_parts': [[2014, 8]]}"
64,"{'date_parts': [[2014, 9]]}"
65,"{'date_parts': [[2014, 9]]}"
66,"{'date_parts': [[2014, 10]]}"
67,"{'date_parts': [[2015, 2]]}"
68,"{'date_parts': [[2015, 2]]}"
69,"{'date_parts': [[2015, 4]]}"
70,"{'date_parts': [[2015, 4]]}"
71,"{'date_parts': [[2015, 7]]}"
72,"{'date_parts': [[2015, 8]]}"
