,reference_count
0,62
1,0
2,45
3,52
4,52
5,60
6,30
7,34
8,54
9,29
10,29
11,50
12,66
13,30
14,33
15,51
16,45
17,0
18,0
19,43
20,83
21,57
22,51
23,35
24,0
25,17
26,0
27,0
28,22
29,0
30,24
31,31
32,0
33,24
34,0
35,0
36,24
37,0
38,0
39,0
40,40
41,43
42,24
43,50
44,23
45,28
46,40
47,21
48,44
49,28
50,45
51,40
52,38
53,58
54,32
55,65
56,47
57,48
58,45
59,49
60,41
61,61
62,25
63,34
64,49
65,52
66,31
67,35
68,38
69,35
70,204
71,45
72,39
73,36
74,35
75,56
76,27
77,35
78,26
79,11
80,11
81,12
82,35
83,19
84,44
85,50
86,55
87,43
88,35
89,65
90,39
91,28
92,25
93,62
94,81
95,40
96,86
97,50
98,48
99,18
100,30
101,38
102,46
103,25
104,22
105,52
106,64
107,20
108,225
109,56
110,27
111,55
112,50
113,18
114,112
115,30
116,62
117,49
118,27
119,29
120,60
121,58
122,56
123,70
124,17
125,32
126,67
127,36
128,27
129,31
130,41
131,14
132,41
133,55
134,38
135,41
136,40
137,28
138,34
139,34
140,25
141,41
142,41
143,36
144,167
145,0
146,0
147,16
148,0
149,7
150,25
151,16
152,37
153,28
154,19
155,34
156,32
157,29
158,22
159,26
160,22
161,17
162,33
163,22
164,24
165,0
166,55
167,49
168,134
169,31
170,64
171,59
172,0
173,144
174,150
175,22
176,40
177,21
178,27
179,51
180,30
181,17
182,50
183,15
184,14
185,24
186,14
187,27
188,34
189,19
190,23
191,13
192,32
193,0
194,19
195,19
196,23
197,23
198,27
199,17
200,24
201,11
202,30
203,22
204,110
205,26
206,58
207,16
208,5
209,15
210,18
211,17
212,25
213,18
214,19
215,16
216,21
217,21
218,23
219,16
220,7
221,7
222,3
223,20
224,14
225,12
226,14
227,13
228,9
229,4
230,3
231,15
232,9
233,9
234,11
235,12
236,16
237,14
238,23
239,11
240,15
241,20
242,12
243,27
244,23
245,14
246,14
247,9
248,19
249,20
250,15
251,16
252,26
253,9
254,16
255,19
256,19
257,14
258,17
259,20
260,16
261,28
262,16
263,19
264,16
265,25
266,24
