,subject
0,"['General Chemistry', 'General Medicine']"
1,['General Materials Science']
2,['General Materials Science']
3,['General Materials Science']
4,['General Materials Science']
5,['General Materials Science']
6,['General Materials Science']
7,['General Materials Science']
8,['General Materials Science']
9,['General Materials Science']
10,['General Materials Science']
11,['General Materials Science']
12,['General Materials Science']
13,['General Materials Science']
14,['General Materials Science']
15,['General Materials Science']
16,['General Materials Science']
17,"['General Engineering', 'General Physics and Astronomy', 'General Materials Science']"
18,"['General Engineering', 'General Physics and Astronomy', 'General Materials Science']"
19,"['General Engineering', 'General Physics and Astronomy', 'General Materials Science']"
20,"['General Engineering', 'General Physics and Astronomy', 'General Materials Science']"
21,"['General Engineering', 'General Physics and Astronomy', 'General Materials Science']"
22,"['General Engineering', 'General Physics and Astronomy', 'General Materials Science']"
23,
24,"['General Biochemistry, Genetics and Molecular Biology', 'General Medicine']"
25,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
26,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
27,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
28,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
29,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
30,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
31,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
32,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
33,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
34,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
35,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
36,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
37,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
38,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
39,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
40,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
41,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
42,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
43,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
44,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
45,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
46,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
47,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
48,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
49,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
50,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
51,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
52,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
53,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
54,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
55,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
56,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
57,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
58,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
59,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
60,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
61,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
62,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
63,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
64,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
65,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
66,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
67,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
68,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
69,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
70,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
71,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
72,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
73,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
74,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
75,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
76,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
77,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
78,"['Electronic, Optical and Magnetic Materials', 'Polymers and Plastics', 'Metals and Alloys', 'Ceramics and Composites']"
79,['Nuclear and High Energy Physics']
80,['General Physics and Astronomy']
81,['General Physics and Astronomy']
82,"['Renewable Energy, Sustainability and the Environment', 'General Materials Science']"
83,"['Renewable Energy, Sustainability and the Environment', 'General Materials Science']"
84,"['Renewable Energy, Sustainability and the Environment', 'General Materials Science']"
85,"['Renewable Energy, Sustainability and the Environment', 'General Materials Science']"
86,"['Renewable Energy, Sustainability and the Environment', 'General Materials Science']"
87,"['Renewable Energy, Sustainability and the Environment', 'General Materials Science']"
88,"['Renewable Energy, Sustainability and the Environment', 'General Materials Science']"
89,"['Renewable Energy, Sustainability and the Environment', 'General Materials Science']"
90,"['Renewable Energy, Sustainability and the Environment', 'General Materials Science']"
91,"['Renewable Energy, Sustainability and the Environment', 'General Materials Science']"
