,type
0,article-journal
1,article-journal
2,article-journal
3,article-journal
4,article-journal
5,article-journal
6,article-journal
7,article-journal
8,article-journal
9,article-journal
10,article-journal
11,article-journal
12,article-journal
13,article-journal
14,article-journal
15,article-journal
16,article-journal
17,article-journal
18,article-journal
19,article-journal
20,article-journal
21,article-journal
22,article-journal
23,article-journal
24,article-journal
25,article-journal
26,article-journal
27,article-journal
28,article-journal
29,article-journal
30,article-journal
31,article-journal
32,article-journal
33,article-journal
34,article-journal
35,article-journal
36,article-journal
37,article-journal
38,article-journal
39,article-journal
40,article-journal
41,article-journal
42,article-journal
43,article-journal
44,article-journal
45,article-journal
46,article-journal
47,article-journal
48,article-journal
49,article-journal
50,article-journal
51,article-journal
52,article-journal
53,article-journal
54,article-journal
55,article-journal
56,article-journal
57,article-journal
58,article-journal
59,article-journal
60,article-journal
61,article-journal
62,article-journal
63,article-journal
64,article-journal
65,article-journal
66,article-journal
67,article-journal
68,article-journal
69,article-journal
70,article-journal
71,article-journal
72,article-journal
73,article-journal
74,article-journal
75,article-journal
76,article-journal
77,article-journal
78,article-journal
79,article-journal
80,article-journal
81,article-journal
82,article-journal
83,article-journal
84,article-journal
85,article-journal
86,article-journal
87,article-journal
88,article-journal
89,article-journal
90,article-journal
91,article-journal
92,article-journal
93,article-journal
94,article-journal
95,article-journal
96,article-journal
97,article-journal
98,article-journal
99,article-journal
100,article-journal
101,article-journal
102,article-journal
103,article-journal
104,article-journal
105,article-journal
106,article-journal
107,article-journal
108,article-journal
109,article-journal
110,article-journal
111,article-journal
112,article-journal
113,article-journal
114,article-journal
115,article-journal
116,article-journal
117,article-journal
118,article-journal
119,article-journal
120,article-journal
121,article-journal
122,article-journal
123,article-journal
124,article-journal
125,article-journal
126,article-journal
127,article-journal
128,article-journal
129,article-journal
130,article-journal
131,article-journal
132,article-journal
133,article-journal
134,article-journal
135,article-journal
136,article-journal
137,article-journal
138,article-journal
139,article-journal
140,article-journal
141,article-journal
142,article-journal
143,article-journal
144,article-journal
145,article-journal
146,article-journal
147,article-journal
148,article-journal
149,article-journal
150,article-journal
151,article-journal
152,article-journal
153,article-journal
154,article-journal
155,article-journal
156,article-journal
157,article-journal
158,article-journal
159,article-journal
160,article-journal
161,article-journal
162,article-journal
163,article-journal
164,article-journal
165,article-journal
166,article-journal
167,article-journal
168,article-journal
169,article-journal
170,article-journal
171,article-journal
172,article-journal
173,article-journal
174,article-journal
175,article-journal
176,article-journal
177,article-journal
178,article-journal
179,article-journal
180,article-journal
181,article-journal
182,article-journal
183,article-journal
184,article-journal
185,article-journal
186,article-journal
187,article-journal
188,article-journal
189,article-journal
190,article-journal
191,article-journal
192,article-journal
193,article-journal
194,article-journal
195,article-journal
196,article-journal
197,article-journal
198,article-journal
199,article-journal
200,article-journal
201,article-journal
202,article-journal
203,article-journal
204,article-journal
205,article-journal
206,article-journal
207,article-journal
208,article-journal
209,article-journal
210,article-journal
211,article-journal
212,article-journal
213,article-journal
214,article-journal
215,article-journal
216,article-journal
217,article-journal
218,article-journal
219,article-journal
220,article-journal
221,article-journal
222,article-journal
223,article-journal
224,article-journal
225,article-journal
226,article-journal
227,article-journal
228,article-journal
229,article-journal
230,article-journal
231,article-journal
232,article-journal
233,article-journal
234,article-journal
235,article-journal
236,article-journal
237,article-journal
238,article-journal
239,article-journal
240,article-journal
241,article-journal
242,article-journal
243,article-journal
244,article-journal
245,article-journal
246,article-journal
247,article-journal
248,article-journal
249,article-journal
250,article-journal
251,article-journal
252,article-journal
253,article-journal
254,article-journal
255,article-journal
256,article-journal
257,article-journal
258,article-journal
259,article-journal
260,article-journal
261,article-journal
262,article-journal
263,article-journal
264,article-journal
265,article-journal
266,article-journal
267,article-journal
268,article-journal
269,article-journal
270,article-journal
271,article-journal
272,article-journal
273,article-journal
274,article-journal
275,article-journal
276,article-journal
277,article-journal
278,article-journal
279,article-journal
280,article-journal
281,article-journal
282,article-journal
283,article-journal
284,article-journal
285,article-journal
286,article-journal
287,article-journal
288,article-journal
289,article-journal
290,article-journal
291,article-journal
292,article-journal
293,article-journal
294,article-journal
295,article-journal
296,article-journal
297,article-journal
298,article-journal
299,article-journal
300,article-journal
301,article-journal
302,article-journal
303,article-journal
304,article-journal
305,article-journal
306,article-journal
307,article-journal
308,article-journal
309,article-journal
310,article-journal
311,article-journal
312,article-journal
313,article-journal
314,article-journal
315,article-journal
316,article-journal
317,article-journal
318,article-journal
319,article-journal
320,article-journal
321,article-journal
322,article-journal
323,article-journal
324,article-journal
325,article-journal
326,article-journal
327,article-journal
328,article-journal
329,article-journal
330,article-journal
331,article-journal
332,article-journal
333,article-journal
334,article-journal
335,article-journal
336,article-journal
337,article-journal
338,article-journal
339,article-journal
340,article-journal
341,article-journal
342,article-journal
343,article-journal
344,article-journal
345,article-journal
346,article-journal
347,article-journal
348,article-journal
349,article-journal
350,article-journal
351,article-journal
352,article-journal
353,article-journal
354,article-journal
355,article-journal
356,article-journal
357,article-journal
358,article-journal
359,article-journal
360,article-journal
361,article-journal
362,article-journal
363,article-journal
364,article-journal
365,article-journal
366,article-journal
367,article-journal
368,article-journal
369,article-journal
370,article-journal
371,article-journal
372,article-journal
373,article-journal
374,article-journal
375,article-journal
376,article-journal
377,article-journal
378,article-journal
379,article-journal
380,article-journal
381,article-journal
382,article-journal
383,article-journal
384,article-journal
385,article-journal
386,article-journal
387,article-journal
388,article-journal
389,article-journal
390,article-journal
391,article-journal
392,article-journal
393,article-journal
394,article-journal
395,article-journal
