,volume
0,47
1,2
2,4
3,5
4,6
5,6
6,6
7,7
8,7
9,7
10,7
11,7
12,7
13,7
14,7
15,7
16,7
17,3
18,4
19,5
20,7
21,7
22,9
23,1
24,64
25,54
26,55
27,55
28,57
29,57
30,57
31,57
32,57
33,57
34,57
35,58
36,58
37,58
38,59
39,59
40,59
41,59
42,59
43,59
44,60
45,60
46,60
47,60
48,60
49,60
50,60
51,60
52,61
53,61
54,61
55,61
56,61
57,61
58,64
59,73
60,73
61,74
62,74
63,75
64,77
65,77
66,78
67,84
68,85
69,87
70,87
71,93
72,95
73,96
74,98
75,98
76,100
77,100
78,101
79,35
80,124
81,124
82,1
83,1
84,2
85,2
86,2
87,2
88,3
89,3
90,3
91,3
92,3
93,3
94,4
95,4
96,5
97,5
98,5
99,7
100,15
101,16
102,14
103,15
104,18
105,18
106,19
107,19
108,20
109,20
110,20
111,21
112,22
113,22
114,23
115,23
116,23
117,23
118,24
119,24
120,24
121,25
122,25
123,25
124,18
125,18
126,19
127,20
128,21
129,21
130,22
131,23
132,23
133,23
134,24
135,24
136,24
137,25
138,25
139,25
140,25
141,26
142,26
143,26
144,26
145,667
146,4
147,22
148,19
149,106
150,111
151,112
152,114
153,2015
154,16
155,33
156,1
157,2
158,3
159,4
160,5
161,5
162,5
163,5
164,5
165,28
166,50
167,52
168,54
169,54
170,54
171,524
172,31
173,6
174,41
175,1
176,1
177,2
178,2
179,3
180,3
181,9
182,24
183,85
184,86
185,88
186,93
187,99
188,108
189,130
190,156
191,27
192,47
193,68
194,80
195,84
196,85
197,88
198,97
199,99
200,100
201,107
202,107
203,111
204,116
205,119
206,119
207,120
208,1
209,1
210,1
211,2
212,4
213,4
214,5
215,5
216,6
217,7
218,8
219,8
220,1
221,22
222,35
223,72
224,73
225,82
226,82
227,83
228,83
229,84
230,84
231,85
232,85
233,86
234,86
235,87
236,87
237,87
238,88
239,88
240,88
241,88
242,88
243,89
244,89
245,89
246,89
247,89
248,89
249,89
250,89
251,89
252,90
253,90
254,90
255,90
256,90
257,91
258,91
259,91
260,92
261,92
262,92
263,92
264,92
265,92
266,92
267,92
268,93
269,93
270,93
271,93
272,93
273,94
274,94
275,94
276,94
277,94
278,94
279,94
280,95
281,95
282,95
283,95
284,95
285,96
286,96
287,96
288,96
289,96
290,96
291,97
292,97
293,97
294,97
295,97
296,97
297,97
298,97
299,97
300,98
301,98
302,98
303,98
304,98
305,98
306,98
307,98
308,98
309,99
310,99
311,99
312,99
313,99
314,99
315,99
316,99
317,99
318,100
319,100
320,100
321,100
322,100
323,100
324,100
325,100
326,100
327,100
328,100
329,101
330,101
331,101
332,101
333,101
334,101
335,101
336,101
337,101
338,101
339,101
340,101
341,101
342,102
343,102
344,102
345,102
346,102
347,102
348,102
349,103
350,103
351,103
352,103
353,103
354,103
355,103
356,103
357,104
358,104
359,104
360,104
361,104
362,104
363,104
364,104
365,104
366,104
367,105
368,105
369,105
370,105
371,105
372,105
373,105
374,105
375,105
376,105
377,105
378,106
379,106
380,106
381,106
382,106
383,106
384,106
385,107
386,107
387,107
388,107
389,6
390,44
391,46
392,305
393,310
394,310
395,321
396,26
397,29
398,31
399,51
400,66
401,82
402,23
403,82
404,60
405,4
406,4
407,5
408,6
409,6
410,51
411,52
412,53
413,54
414,8
415,15
416,15
417,4
418,18
419,31
420,34
421,37
422,37
423,88
424,3
425,3
426,17
427,23
428,47
429,50
430,52
431,80
432,81
433,85
434,94
435,31
436,34
437,35
438,36
439,37
440,37
441,38
442,38
443,38
444,38
445,38
446,39
447,39
448,39
449,39
450,39
451,39
452,39
453,39
454,40
455,40
456,40
457,40
458,40
459,40
460,40
461,40
462,41
463,41
464,41
465,41
466,41
467,41
468,41
469,41
470,47
471,48
472,51
473,471
474,537
475,550
476,586
477,568-569
478,593
479,594
480,610-611
481,7
482,45
483,9
484,10
485,16
486,18
487,19
488,20
489,20
490,8
491,8
492,4
493,34
494,15
495,17
496,17
497,17
498,18
499,18
500,18
501,18
502,19
503,19
504,19
505,19
506,20
507,20
508,20
509,21
510,21
511,21
512,21
513,21
514,21
515,22
516,22
517,22
518,22
519,22
520,22
521,22
522,22
523,22
524,22
525,23
526,23
527,23
528,23
529,24
530,24
531,24
532,24
533,25
534,25
535,25
536,25
537,25
538,26
539,26
540,26
541,26
542,26
543,26
544,26
545,26
546,26
547,26
548,26
549,26
550,26
551,26
552,27
553,27
554,27
555,27
556,27
557,27
558,27
559,27
560,27
561,27
562,27
563,27
564,27
565,27
566,27
567,27
568,27
569,27
570,27
571,27
572,14
573,6
574,24
575,22
576,18
577,19
578,20
579,20
580,20
581,20
582,21
583,22
584,23
585,23
586,23
587,24
588,24
589,24
590,22
591,28
592,30
593,31
594,32
595,32
596,52
597,59
598,43
599,60
600,62
601,64
602,42
603,48
604,45
605,69
606,101
607,4
608,50
609,50
610,60
611,65
612,85
613,89
614,90
615,95
616,96
617,100
618,103
619,108
620,109
621,40
622,213-216
623,185
624,185
625,187
626,17
627,2
628,21
629,19
630,32
631,47
632,59
633,67
634,10
635,39
636,44
637,47
638,47
639,49
640,49
641,57
642,14
643,14
644,14
645,14
646,15
647,15
648,15
649,15
650,15
651,16
652,16
653,17
654,9
655,9
656,9
657,10
658,11
659,12
660,12
661,14
662,14
663,14
664,15
665,5
666,10
667,13
668,43
669,55
670,
671,39
672,39
673,39
674,39
675,39
676,39
677,39
678,39
679,39
680,39
681,39
682,40
683,41
684,41
685,42
686,42
687,43
688,43
689,43
690,43
691,43
692,43
693,43
694,43
695,43
696,44
697,44
698,44
699,44
700,44
701,44
702,44
703,44
704,336
705,32
706,80
707,6
708,6
709,6
710,6
711,6
712,6
713,6
714,6
715,7
716,7
717,8
718,8
719,9
720,9
721,9
722,10
723,10
724,10
725,11
726,11
727,11
728,11
729,11
730,88
731,91
732,44
733,8
734,8
735,8
736,36
737,47
738,54
739,54
740,55
741,64
742,65
743,68
744,77
745,77
746,80
747,82
748,83
749,85
750,86
751,3
752,4
753,4
754,4
755,4
756,5
757,5
758,5
759,5
760,6
761,6
762,7
763,7
764,7
765,8
766,8
767,8
768,10
769,11
770,15
771,16
772,23
773,24
774,24
775,25
776,30
777,33
778,47
779,49
780,50
781,52
782,62
783,65
784,65
785,74
786,76
787,76
788,76
789,83
790,87
791,94
792,98
793,103
794,106
795,25
796,18
797,18
798,33
799,3
800,17
801,17
802,42
803,77
804,87
805,102
806,103
807,106
808,109
809,109
810,109
811,2011
812,2011
813,2012
814,2015
815,2015
816,53
817,59
818,79
819,85
820,85
821,85
822,86
823,86
824,87
825,88
826,88
827,88
828,88
829,88
830,18
831,156
832,453
833,470
834,39
835,3
836,3
837,03
838,06
839,06
840,06
841,06
842,06
843,06
844,06
845,07
846,07
847,07
848,07
849,07
850,07
851,07
852,08
853,08
854,52
855,53
856,53
857,54
858,54
859,54
860,54
861,54
862,55
863,55
864,55
865,55
866,56
867,56
868,57
869,57
870,57
871,57
872,57
873,57
874,57
875,57
876,58
877,58
878,59
879,59
880,59
881,59
882,59
883,60
884,60
885,60
886,61
887,37
888,39
889,48
890,
891,36
892,
893,34
894,33
895,21
896,59
897,29
898,30
899,33
900,2
901,4
902,22
903,44
904,55
905,62
906,24
907,26
908,61
909,
910,17
911,49
912,50
913,70
914,89
915,47
916,47
917,47
918,48
919,49
920,50
921,51
922,51
923,51
924,52
925,52
926,52
927,52
928,52
929,53
930,53
931,53
932,53
933,53
934,53
935,54
936,54
937,54
938,39
939,40
940,40
941,40
942,40
943,41
944,41
945,42
946,42
947,43
948,43
949,43
950,43
951,1
952,44
953,45
954,46
955,47
956,47
957,47
958,49
959,49
960,50
961,51
962,51
963,1
964,2
965,3
966,3
967,4
968,5
969,95
970,7
971,11
972,13
973,13
974,14
975,15
976,15
977,15
978,15
979,18
980,18
981,18
982,19
983,19
984,19
985,19
986,19
987,19
988,19
989,19
990,22
991,23
992,25
993,26
994,31
995,32
996,32
997,32
998,32
999,32
1000,32
1001,32
1002,34
1003,35
1004,40
1005,41
1006,43
1007,43
1008,45
1009,50
1010,54
1011,55
1012,55
1013,55
1014,56
1015,56
1016,57
1017,60
1018,66
1019,66
1020,48
1021,56
1022,90
1023,70
1024,4
1025,8
1026,43
1027,67
1028,38
1029,55
1030,4
1031,49
1032,55
1033,55
1034,60
1035,80
1036,86
1037,91
1038,37
1039,40
1040,5
1041,42
1042,6
1043,16
1044,18
1045,19
1046,21
1047,22
1048,21
1049,23
1050,23
1051,27
1052,28
1053,29
1054,29
1055,9
1056,11
1057,11
1058,109
1059,3
1060,15
1061,50
1062,50
1063,67
1064,86
1065,97
1066,36
1067,48
1068,1680
1069,10
1070,13
1071,21
1072,50
1073,50
1074,32
1075,47
1076,47
1077,47
1078,47
1079,48
1080,48
1081,48
1082,48
1083,49
1084,49
1085,50
1086,50
1087,50
1088,51
1089,52
1090,52
1091,52
1092,52
1093,52
1094,53
1095,53
1096,53
1097,54
1098,54
1099,54
1100,54
1101,54
1102,54
1103,54
1104,43
1105,43
1106,43
1107,44
1108,44
1109,44
1110,44
1111,45
1112,45
1113,45
1114,45
1115,45
1116,45
1117,45
1118,45
1119,46
1120,46
1121,46
1122,46
1123,46
1124,46
1125,47
1126,43
1127,45
1128,46
1129,46
1130,80
1131,85
1132,94
1133,101
1134,49
1135,65
1136,66
1137,67
1138,4
1139,292
1140,348
1141,349
1142,349
1143,350
1144,350
1145,350
1146,350
1147,351
1148,351
1149,352
1150,358
1151,359
1152,359
1153,361
1154,361
1155,364
1156,364
1157,368
1158,368
1159,372
1160,375
1161,375
1162,376
1163,376
1164,377
1165,377
1166,377
1167,384
1168,384
1169,384
1170,384
1171,385
1172,386
1173,387
1174,387
1175,387
1176,388
1177,388
1178,388
1179,389
1180,390
1181,390
1182,390
1183,391
1184,391
1185,391
1186,392
1187,392
1188,392
1189,392
1190,393
1191,394
1192,396
1193,397
1194,397
1195,397
1196,399
1197,399
1198,400
1199,407
1200,407
1201,407
1202,407
1203,414
1204,414
1205,415
1206,415
1207,415
1208,416
1209,416
1210,416
1211,417
1212,417
1213,417
1214,418
1215,419
1216,420
1217,420
1218,420
1219,421
1220,421
1221,422
1222,425
1223,426
1224,426
1225,427
1226,428
1227,429
1228,430
1229,430
1230,431
1231,433
1232,437
1233,437
1234,437
1235,437
1236,438
1237,440
1238,442
1239,442
1240,442
1241,442
1242,442
1243,443
1244,434-435
1245,448
1246,448
1247,448
1248,449
1249,450
1250,450
1251,451
1252,452
1253,452
1254,454
1255,455
1256,455
1257,455
1258,455
1259,457
1260,458
1261,460
1262,460
1263,460
1264,461
1265,461
1266,461
1267,463
1268,463
1269,464
1270,464
1271,466
1272,466
1273,467
1274,467
1275,467
1276,467
1277,467
1278,467
1279,468
1280,468
1281,469
1282,469
1283,471
1284,472
1285,473
1286,476
1287,477
1288,477
1289,477
1290,477
1291,479
1292,479
1293,480
1294,480
1295,480
1296,482
1297,484
1298,484
1299,484
1300,484
1301,484
1302,484
1303,484
1304,485
1305,486
1306,486
1307,486
1308,486
1309,487
1310,489
1311,489
1312,490
1313,490
1314,491
1315,491
1316,491
1317,492
1318,493
1319,493
1320,493
1321,493
1322,496
1323,496
1324,496
1325,497
1326,499
1327,500
1328,500
1329,500
1330,501
1331,503
1332,503
1333,504
1334,504
1335,504
1336,504
1337,504
1338,505
1339,506
1340,506
1341,507
1342,507
1343,507
1344,508
1345,509
1346,509
1347,509
1348,509
1349,509
1350,509
1351,509
1352,509
1353,509
1354,509
1355,509
1356,509
1357,509
1358,509
1359,509
1360,509
1361,509
1362,509
1363,509
1364,509
1365,509
1366,511
1367,513
1368,513
1369,514
1370,517
1371,520
1372,521
1373,521
1374,523
1375,526
1376,526
1377,527
1378,530
1379,531
1380,536
1381,537
1382,537
1383,537
1384,547
1385,549
1386,549
1387,549
1388,550
1389,551
1390,551
1391,552
1392,552
1393,553
1394,554
1395,555
1396,558
1397,561
1398,562
1399,564
1400,565
1401,565
1402,566
1403,567
1404,568
1405,570
1406,570
1407,571
1408,572
1409,576
1410,577
1411,577
1412,579
1413,580
1414,581
1415,581
1416,581
1417,581
1418,582
1419,582
1420,584
1421,584
1422,584
1423,584
1424,584
1425,585
1426,585
1427,585
1428,586
1429,586
1430,587
1431,588
1432,588
1433,588
1434,588
1435,588
1436,588
1437,588
1438,589
1439,589
1440,591
1441,594
1442,598
1443,600
1444,600
1445,602
1446,604
1447,604
1448,607
1449,609
1450,610
1451,610
1452,611
1453,612
1454,614
1455,615
1456,615
1457,615
1458,615
1459,616
1460,617
1461,618
1462,618
1463,618
1464,619
1465,619
1466,621
1467,622
1468,625
1469,626
1470,628
1471,629
1472,630
1473,630
1474,630
1475,632
1476,632
1477,633
1478,634
1479,634
1480,634
1481,635
1482,636
1483,638
1484,639
1485,639
1486,641
1487,643
1488,644
1489,644
1490,644
1491,645
1492,645
1493,646
1494,647
1495,648
1496,650
1497,650
1498,650
1499,651
1500,651
1501,652
1502,653
1503,38
1504,27
1505,30
1506,32
1507,32
1508,32
1509,32
1510,33
1511,33
1512,33
1513,34
1514,34
1515,34
1516,35
1517,36
1518,36
1519,39
1520,39
1521,39
1522,41
1523,43
1524,43
1525,47
1526,49
1527,55
1528,57
1529,57
1530,58
1531,58
1532,63
1533,67
1534,69
1535,70
1536,70
1537,72
1538,72
1539,75
1540,76
1541,76
1542,76
1543,76
1544,78
1545,78
1546,93
1547,93
1548,93
1549,93
1550,93
1551,93
1552,94
1553,94
1554,94
1555,94
1556,94
1557,95
1558,95
1559,95
1560,95
1561,95
1562,95
1563,96
1564,96
1565,96
1566,96
1567,97
1568,97
1569,97
1570,97
1571,97
1572,97
1573,97
1574,97
1575,97
1576,98
1577,98
1578,98
1579,98
1580,98
1581,98
1582,98
1583,99
1584,99
1585,99
1586,99
1587,99
1588,99
1589,100
1590,100
1591,100
1592,100
1593,100
1594,100
1595,100
1596,100
1597,100
1598,101
1599,101
1600,101
1601,101
1602,101
1603,101
1604,101
1605,101
1606,102
1607,102
1608,102
1609,102
1610,102
1611,102
1612,102
1613,102
1614,102
1615,102
1616,102
1617,102
1618,103
1619,103
1620,103
1621,103
1622,103
1623,103
1624,103
1625,103
1626,103
1627,104
1628,104
1629,104
1630,104
1631,104
1632,104
1633,104
1634,104
1635,104
1636,104
1637,104
1638,104
1639,104
1640,104
1641,105
1642,105
1643,105
1644,105
1645,105
1646,105
1647,105
1648,105
1649,105
1650,105
1651,105
1652,105
1653,105
1654,105
1655,105
1656,105
1657,105
1658,105
1659,105
1660,105
1661,105
1662,106
1663,106
1664,106
1665,106
1666,106
1667,106
1668,107
1669,107
1670,107
1671,107
1672,107
1673,107
1674,107
1675,107
1676,107
1677,108
1678,108
1679,108
1680,108
1681,108
1682,108
1683,108
1684,108
1685,108
1686,108
1687,108
1688,108
1689,109
1690,109
1691,109
1692,109
1693,109
1694,110
1695,110
1696,110
1697,110
1698,110
1699,110
1700,110
1701,110
1702,110
1703,110
1704,110
1705,110
1706,111
1707,111
1708,111
1709,111
1710,111
1711,111
1712,111
1713,111
1714,111
1715,111
1716,111
1717,111
1718,111
1719,111
1720,111
1721,111
1722,111
1723,111
1724,112
1725,112
1726,112
1727,112
1728,112
1729,112
1730,112
1731,112
1732,112
1733,112
1734,112
1735,112
1736,112
1737,112
1738,112
1739,112
1740,112
1741,112
1742,112
1743,112
1744,112
1745,112
1746,113
1747,113
1748,113
1749,113
1750,113
1751,113
1752,113
1753,113
1754,113
1755,113
1756,113
1757,113
1758,113
1759,113
1760,113
1761,113
1762,113
1763,113
1764,113
1765,113
1766,113
1767,113
1768,113
1769,113
1770,113
1771,113
1772,113
1773,114
1774,114
1775,114
1776,114
1777,114
1778,114
1779,114
1780,114
1781,114
1782,114
1783,114
1784,114
1785,114
1786,114
1787,114
1788,114
1789,114
1790,114
1791,114
1792,115
1793,115
1794,115
1795,115
1796,115
1797,115
1798,115
1799,115
1800,115
1801,115
1802,115
1803,115
1804,115
1805,115
1806,115
1807,115
1808,115
1809,115
1810,115
1811,115
1812,115
1813,115
1814,115
1815,116
1816,116
1817,116
1818,116
1819,116
1820,116
1821,116
1822,116
1823,116
1824,116
1825,116
1826,116
1827,116
1828,116
1829,116
1830,116
1831,116
1832,116
1833,116
1834,116
1835,116
1836,116
1837,117
1838,117
1839,117
1840,117
1841,117
1842,117
1843,117
1844,117
1845,117
1846,117
1847,117
1848,117
1849,117
1850,118
1851,118
1852,118
1853,118
1854,118
1855,118
1856,118
1857,118
1858,118
1859,118
1860,118
1861,118
1862,118
1863,118
1864,118
1865,118
1866,118
1867,118
1868,124
1869,131
1870,131
1871,131
1872,132
1873,40
1874,121
1875,121
1876,128
1877,129
1878,129
1879,130
1880,131
1881,133
1882,135
1883,135
1884,138
1885,140
1886,140
1887,140
1888,143
1889,143
1890,8
1891,212
1892,2
1893,33
1894,9
1895,11
1896,11
1897,12
1898,277
1899,279
1900,286
1901,304
1902,304
1903,308
1904,311
1905,311
1906,312
1907,316
1908,377
1909,614
1910,17
1911,21
1912,22
1913,24
1914,31
1915,31
1916,31
1917,32
1918,32
1919,184
1920,195
1921,12
1922,22
1923,24
1924,36
1925,36
1926,36
1927,36
1928,36
1929,36
1930,37
1931,37
1932,38
1933,39
1934,39
1935,39
1936,39
1937,39
1938,39
1939,39
1940,39
1941,39
1942,39
1943,39
1944,39
1945,39
1946,39
1947,39
1948,39
1949,39
1950,39
1951,39
1952,39
1953,39
1954,39
1955,39
1956,39
1957,39
1958,39
1959,39
1960,39
1961,39
1962,39
1963,39
1964,39
1965,39
1966,39
1967,39
1968,39
1969,39
1970,39
1971,39
1972,39
1973,39
1974,39
1975,39
1976,39
1977,39
1978,39
1979,39
1980,39
1981,39
1982,39
1983,39
1984,39
1985,40
1986,40
1987,41
1988,41
1989,41
1990,41
1991,41
1992,41
1993,41
1994,41
1995,41
1996,41
1997,41
1998,41
1999,41
2000,41
2001,41
2002,41
2003,41
2004,41
2005,41
2006,41
2007,41
2008,41
2009,41
2010,41
2011,41
2012,41
2013,41
2014,41
2015,41
2016,41
2017,41
2018,41
2019,41
2020,41
2021,41
2022,41
2023,41
2024,41
2025,41
2026,41
2027,41
2028,41
2029,41
2030,41
2031,41
2032,41
2033,41
2034,41
2035,41
2036,41
2037,41
2038,41
2039,41
2040,41
2041,41
2042,41
2043,41
2044,41
2045,41
2046,41
2047,41
2048,41
2049,41
2050,41
2051,41
2052,41
2053,42
2054,42
2055,42
2056,42
2057,42
2058,42
2059,42
2060,42
2061,42
2062,42
2063,42
2064,42
2065,42
2066,42
2067,42
2068,42
2069,42
2070,42
2071,42
2072,42
2073,42
2074,42
2075,42
2076,42
2077,42
2078,42
2079,42
2080,42
2081,42
2082,42
2083,42
2084,42
2085,42
2086,42
2087,42
2088,42
2089,42
2090,42
2091,42
2092,42
2093,42
2094,42
2095,42
2096,42
2097,42
2098,42
2099,42
2100,42
2101,42
2102,42
2103,42
2104,42
2105,42
2106,42
2107,42
2108,42
2109,42
2110,42
2111,42
2112,42
2113,42
2114,42
2115,42
2116,42
2117,42
2118,42
2119,42
2120,42
2121,42
2122,42
2123,42
2124,42
2125,42
2126,42
2127,42
2128,42
2129,42
2130,42
2131,42
2132,42
2133,42
2134,42
2135,42
2136,42
2137,42
2138,42
2139,42
2140,42
2141,42
2142,42
2143,42
2144,42
2145,42
2146,42
2147,43
2148,43
2149,43
2150,43
2151,43
2152,43
2153,43
2154,43
2155,43
2156,43
2157,43
2158,43
2159,43
2160,43
2161,43
2162,43
2163,43
2164,43
2165,43
2166,43
2167,43
2168,43
2169,43
2170,43
2171,43
2172,43
2173,43
2174,43
2175,43
2176,43
2177,43
2178,43
2179,43
2180,43
2181,43
2182,43
2183,43
2184,43
2185,43
2186,43
2187,43
2188,43
2189,43
2190,43
2191,43
2192,43
2193,43
2194,43
2195,43
2196,43
2197,43
2198,43
2199,43
2200,43
2201,43
2202,43
2203,43
2204,43
2205,43
2206,43
2207,43
2208,43
2209,43
2210,43
2211,43
2212,43
2213,43
2214,43
2215,43
2216,43
2217,43
2218,43
2219,43
2220,43
2221,43
2222,43
2223,43
2224,43
2225,43
2226,43
2227,43
2228,43
2229,43
2230,43
2231,43
2232,43
2233,43
2234,43
2235,43
2236,43
2237,43
2238,43
2239,43
2240,43
2241,43
2242,43
2243,43
2244,43
2245,43
2246,43
2247,43
2248,44
2249,44
2250,44
2251,44
2252,44
2253,44
2254,44
2255,44
2256,44
2257,44
2258,44
2259,44
2260,44
2261,44
2262,44
2263,44
2264,44
2265,44
2266,44
2267,44
2268,44
2269,44
2270,44
2271,44
2272,44
2273,44
2274,44
2275,44
2276,44
2277,44
2278,44
2279,44
2280,44
2281,44
2282,44
2283,44
2284,44
2285,44
2286,44
2287,44
2288,44
2289,44
2290,44
2291,44
2292,44
2293,44
2294,44
2295,44
2296,44
2297,44
2298,44
2299,44
2300,44
2301,44
2302,44
2303,44
2304,44
2305,44
2306,44
2307,44
2308,129
2309,134
2310,134
2311,5
2312,129
2313,33
2314,39
2315,105
2316,116
2317,125
2318,131
2319,135
2320,2015
2321,2015
2322,19
2323,21
2324,21
2325,27
2326,50
2327,53
2328,21
2329,1
2330,34
2331,94
2332,147
2333,173
2334,174
2335,176
2336,31-34
2337,52
2338,70
2339,63-64
2340,63-64
2341,72
2342,76-77
2343,136
2344,310
2345,354
2346,362
2347,369
2348,358-359
2349,377
2350,391
2351,393
2352,394
2353,4
2354,9
2355,14
2356,20
2357,20
2358,20
2359,20
2360,20
2361,20
2362,21
2363,21
2364,21
2365,21
2366,21
2367,21
2368,22
2369,22
2370,22
2371,22
2372,22
2373,22
2374,22
2375,22
2376,22
2377,22
2378,22
2379,22
2380,22
2381,22
2382,22
2383,1
2384,1
2385,1
2386,1
2387,1
2388,1
2389,1
2390,1
2391,1
2392,1
2393,1
2394,1
2395,1
2396,1
2397,1
2398,1
2399,1
2400,1
2401,1
2402,1
2403,1
2404,1
2405,1
2406,2
2407,2
2408,2
2409,2
2410,2
